Variant	N
PRKCH (intron_variant)	257
AC016831.6 (intron_variant)	196
RIPOR2 (intron_variant)	181
HLA-B (intron_variant)	172
XYLT1 (intron_variant)	167
AC097634.4 (intron_variant)	165
WWOX (intron_variant)	162
ARHGAP15 (intron_variant)	161
DOCK8 (intron_variant)	157
KANSL1 (intron_variant)	152
AC068587.4 (intron_variant)	144
FTX (intron_variant)	143
ANKRD44 (intron_variant)	143
APBB1IP (intron_variant)	140
RUNX1 (intron_variant)	138
KLF12 (intron_variant)	137
FOXP1 (intron_variant)	133
CELF2 (intron_variant)	126
PRH1 (intron_variant)	123
CAMK4 (intron_variant)	123
AC018630.2 (intron_variant)	122
LDLRAD4 (intron_variant)	122
TAS2R14 (intron_variant)	121
PRKCB (intron_variant)	117
LINC-PINT (intron_variant)	117
SMAD3 (intron_variant)	109
JAK1 (intron_variant)	108
EML4 (intron_variant)	108
MUC20-OT1 (downstream_gene_variant)	106
AL671277.1 (upstream_gene_variant)	106
AKAP13 (intron_variant)	105
CD247 (intron_variant)	104
PCED1B (intron_variant)	104
MUC20-OT1 (intron_variant)	102
DOCK2 (intron_variant)	102
AC021087.5 (intron_variant)	101
STK38 (intron_variant)	101
KDM4C (intron_variant)	101
AP001011.2 (intron_variant)	101
PHACTR2 (intron_variant)	99
FOXN3 (intron_variant)	99
AL645929.3 (upstream_gene_variant)	99
SMCHD1 (intron_variant)	97
ZNF83 (intron_variant)	97
ARL17B (intron_variant)	97
STK10 (intron_variant)	96
MBP (intron_variant)	96
PITPNC1 (intron_variant)	96
AL138752.2 (intron_variant)	95
LINC01934 (intron_variant)	93
AC093423.3 (intron_variant)	92
RABGAP1L (intron_variant)	92
IQGAP2 (intron_variant)	91
MUC20-OT1 (upstream_gene_variant)	91
CYP20A1 (intron_variant)	89
ELMO1 (intron_variant)	89
HLA-C (upstream_gene_variant)	89
ARMH4 (intron_variant)	88
STK17A (intron_variant)	88
CHST11 (intron_variant)	87
TNFAIP8 (intron_variant)	87
ARID5B (intron_variant)	87
PRKCQ (intron_variant)	87
CSGALNACT1 (intron_variant)	86
SIK3 (intron_variant)	86
PCAT1 (intron_variant)	86
PRKCH (upstream_gene_variant)	86
ZNRD1ASP (intron_variant)	85
FNBP1 (intron_variant)	84
ST6GAL1 (intron_variant)	84
FYB1 (intron_variant)	84
FDFT1 (downstream_gene_variant)	84
FYN (intron_variant)	84
INPP4B (intron_variant)	84
AC079793.1 (intron_variant)	84
MAML2 (intron_variant)	83
ATXN1 (intron_variant)	83
OXNAD1 (intron_variant)	83
ARHGAP25 (intron_variant)	82
AC092279.1 (intron_variant)	82
DPYD (intron_variant)	82
CTSB (intron_variant)	82
EVL (intron_variant)	82
PDXDC1 (intron_variant)	81
AC116366.3 (intron_variant)	80
TTC3P1 (non_coding_transcript_exon_variant)	80
TBCA (intron_variant)	79
METTL22 (downstream_gene_variant)	79
IKZF3 (3_prime_UTR_variant)	79
C21orf59-TCP10L (intron_variant)	79
TPTE2P6 (intron_variant)	79
ADK (intron_variant)	78
CBLB (intron_variant)	78
MCPH1 (intron_variant)	78
TNRC6B (intron_variant)	78
CTSB (downstream_gene_variant)	78
PVT1 (intron_variant)	78
LRRC8C (intron_variant)	77
UBAC2 (intron_variant)	77
RORA-AS1 (intron_variant)	77
PDE3B (intron_variant)	77
AC092279.2 (intron_variant)	77
PIP4K2A (intron_variant)	77
ITK (intron_variant)	77
RORA (intron_variant)	77
TBC1D5 (intron_variant)	76
RFTN1 (intron_variant)	76
AL645929.1 (upstream_gene_variant)	76
AL031282.2 (intron_variant)	76
AC011825.3 (intron_variant)	75
AC242426.2 (intron_variant)	74
CCDC91 (intron_variant)	74
AC010894.3 (intron_variant)	74
SPON1 (intron_variant)	74
TTC39C (intron_variant)	73
AC122694.1-EMB (intergenic_region)	73
CHFR (intron_variant)	73
COA1 (intron_variant)	73
ARID4B (intron_variant)	73
KIF2A (intron_variant)	73
LRRC28 (intron_variant)	72
CEP85L (intron_variant)	72
HLA-C (non_coding_transcript_exon_variant)	72
LINC00243 (intron_variant)	72
AKAP13 (downstream_gene_variant)	72
ANK3 (intron_variant)	72
CCND3 (intron_variant)	71
CAST (downstream_gene_variant)	71
ZBTB20 (intron_variant)	71
PPP2R5C (intron_variant)	71
CD6 (intron_variant)	71
SEPTIN9 (intron_variant)	71
ITGA4 (intron_variant)	71
LEPROTL1 (intron_variant)	70
TNIK (intron_variant)	70
ARHGEF3 (intron_variant)	70
PTPRJ (intron_variant)	70
CAST (intron_variant)	70
LRRC28 (downstream_gene_variant)	70
SRPK2 (intron_variant)	70
AC079447.1 (intron_variant)	69
HCP5 (downstream_gene_variant)	69
NIBAN1 (intron_variant)	69
AC006369.1 (intron_variant)	69
SHLD1 (intron_variant)	68
CYP20A1 (3_prime_UTR_variant)	68
CAPZB (intron_variant)	68
BABAM2 (intron_variant)	68
SLFN12L (intron_variant)	68
SKAP1 (intron_variant)	68
LRBA (intron_variant)	68
CYTH1 (intron_variant)	68
FMN2 (intron_variant)	68
ATP2B4 (intron_variant)	68
ACYP2 (intron_variant)	67
JMJD1C (intron_variant)	67
SERINC5 (intron_variant)	67
HLA-B (upstream_gene_variant)	67
MIR4435-2HG (intron_variant)	67
ATXN7L1 (intron_variant)	66
SLC35E2A (intron_variant)	66
TBL1X (intron_variant)	65
SLC9A9 (intron_variant)	65
HLA-A (intron_variant)	65
AL137230.3 (intron_variant)	65
DOCK10 (intron_variant)	65
BCAS3 (intron_variant)	65
IKZF3 (downstream_gene_variant)	65
CASK (intron_variant)	64
CD226 (intron_variant)	64
AL031282.1 (upstream_gene_variant)	64
AC004551.1 (intron_variant)	64
HLA-A (non_coding_transcript_exon_variant)	64
ANKH (intron_variant)	64
VOPP1 (intron_variant)	64
SP100 (intron_variant)	64
ABCC1 (intron_variant)	63
FMO5 (intron_variant)	63
CD44 (intron_variant)	63
LIMS1 (intron_variant)	63
HLA-H (non_coding_transcript_exon_variant)	63
AC087633.2 (non_coding_transcript_exon_variant)	63
AL031282.1 (intron_variant)	63
AC087633.2 (intron_variant)	63
METTL22 (intron_variant)	63
AC025171.1 (intron_variant)	62
MBNL1 (intron_variant)	62
LINC00649 (intron_variant)	62
ZNRD1ASP (downstream_gene_variant)	62
AC025857.2 (downstream_gene_variant)	62
EXOC4 (intron_variant)	62
PAG1 (intron_variant)	62
CARD8 (intron_variant)	62
INPP5D (intron_variant)	62
HLA-B (non_coding_transcript_exon_variant)	61
HLA-C (downstream_gene_variant)	61
AC058822.1 (intron_variant)	61
P2RY8 (intron_variant)	61
BCL11B (intron_variant)	61
TMOD3 (intron_variant)	61
RBM39 (upstream_gene_variant)	61
ESYT2 (intron_variant)	61
PCBD2 (intron_variant)	61
AP005263.1 (intron_variant)	61
SOS1 (intron_variant)	61
AC093423.2 (intron_variant)	61
NCK2 (intron_variant)	60
APOLD1 (intron_variant)	60
MYH9 (intron_variant)	60
EPB41 (intron_variant)	60
HCP5 (non_coding_transcript_exon_variant)	60
LINC02694 (intron_variant)	60
MAVS (3_prime_UTR_variant)	60
STIM1 (intron_variant)	60
ABLIM1 (intron_variant)	60
SP100 (downstream_gene_variant)	60
SLC35E2A (downstream_gene_variant)	60
STAG2 (intron_variant)	60
SMYD3 (intron_variant)	60
ABI1 (intron_variant)	59
AL359918.2 (non_coding_transcript_exon_variant)	59
AL136456.1 (intron_variant)	59
AC008695.1 (intron_variant)	59
PPHLN1 (intron_variant)	59
WDPCP (intron_variant)	59
AC087633.2 (upstream_gene_variant)	59
AC010149.1 (intron_variant)	59
MGAT5 (intron_variant)	59
QPRT (intron_variant)	59
CD3D (downstream_gene_variant)	59
AP001582.1-CD3D (intergenic_region)	59
RHOH (intron_variant)	59
XKR6 (intron_variant)	59
ZKSCAN7-AS1 (intron_variant)	58
MARK3 (intron_variant)	58
AP000295.1 (intron_variant)	58
RASSF3 (intron_variant)	58
FLI1 (intron_variant)	58
STAG1 (intron_variant)	58
UBE3C (intron_variant)	58
DOCK9 (intron_variant)	58
HSP90B2P (non_coding_transcript_exon_variant)	58
AC007161.3 (intron_variant)	58
SPN (3_prime_UTR_variant)	58
MTND3P25 (downstream_gene_variant)	58
SYNE2 (intron_variant)	58
IL7R (downstream_gene_variant)	58
SPN (downstream_gene_variant)	58
SPN (intron_variant)	58
RBM39 (downstream_gene_variant)	57
TTC7A (intron_variant)	57
CTSB (3_prime_UTR_variant)	57
CYP20A1 (downstream_gene_variant)	57
LGALS8 (downstream_gene_variant)	57
MIR6891 (upstream_gene_variant)	57
CARD11 (intron_variant)	57
DLEU2 (intron_variant)	57
SCML4 (intron_variant)	57
PACS1 (intron_variant)	56
KHNYN (downstream_gene_variant)	56
MIR2114 (downstream_gene_variant)	56
AEBP2 (intron_variant)	56
