Variant	N
HLA-B (intron_variant)	208
PRKCH (intron_variant)	120
AL138752.2 (intron_variant)	118
RIPOR2 (intron_variant)	113
FTX (intron_variant)	111
HLA-C (upstream_gene_variant)	108
AP001011.2 (intron_variant)	98
AC242426.2 (intron_variant)	90
ARMH4 (intron_variant)	90
IKZF3 (3_prime_UTR_variant)	89
TTC3P1 (non_coding_transcript_exon_variant)	85
TPTE2P6 (intron_variant)	85
HLA-C (non_coding_transcript_exon_variant)	84
HLA-C (downstream_gene_variant)	83
HLA-B (upstream_gene_variant)	83
QPRT (intron_variant)	83
SPN (downstream_gene_variant)	81
SPN (3_prime_UTR_variant)	80
SPN (intron_variant)	80
CELF2 (intron_variant)	79
IKZF3 (downstream_gene_variant)	78
AC016831.6 (intron_variant)	78
PDXDC1 (intron_variant)	76
FMO5 (intron_variant)	76
ITK (intron_variant)	76
LEPROTL1 (intron_variant)	76
TBCA (intron_variant)	75
INPP4B (intron_variant)	73
FDFT1 (downstream_gene_variant)	73
ANKH (intron_variant)	73
AC010894.3 (intron_variant)	73
HLA-B (non_coding_transcript_exon_variant)	72
PCED1B (intron_variant)	72
CTSB (intron_variant)	71
AC122694.1-EMB (intergenic_region)	71
HLA-C (intron_variant)	70
ITGA4 (intron_variant)	69
MIR6891 (upstream_gene_variant)	69
SSR1 (intron_variant)	69
ZNF815P (intron_variant)	68
ARHGAP15 (intron_variant)	68
APBB1IP (intron_variant)	67
HLA-DPB1 (downstream_gene_variant)	67
LGALS8 (downstream_gene_variant)	66
FMN2 (intron_variant)	66
CARD8 (intron_variant)	66
CTSB (downstream_gene_variant)	65
HLA-DQB1 (non_coding_transcript_exon_variant)	65
AC092279.1 (intron_variant)	64
AC092279.2 (intron_variant)	64
USP8P1 (upstream_gene_variant)	63
AC097634.4 (intron_variant)	63
AC244502.1 (intron_variant)	63
SMCHD1 (intron_variant)	63
TBC1D5 (intron_variant)	62
EVL (intron_variant)	62
HCG17 (intron_variant)	62
ASIP (intron_variant)	62
STK17A (intron_variant)	61
AL359918.2 (non_coding_transcript_exon_variant)	61
HLA-B (downstream_gene_variant)	61
ZNF814 (downstream_gene_variant)	61
CYP20A1 (intron_variant)	61
CD6 (intron_variant)	60
EPB41 (intron_variant)	60
VOPP1 (intron_variant)	60
MIR2114 (downstream_gene_variant)	60
COA1 (intron_variant)	60
AC010149.1 (intron_variant)	60
AP000295.1 (intron_variant)	59
LINC01550 (intron_variant)	59
SPN (non_coding_transcript_exon_variant)	58
WDPCP (intron_variant)	58
FYN (intron_variant)	58
AC004551.1 (intron_variant)	58
AL671883.2 (upstream_gene_variant)	58
SLC35E2A (intron_variant)	57
AC022137.3 (intron_variant)	57
RORA-AS1 (intron_variant)	57
CYP20A1 (3_prime_UTR_variant)	57
AC079447.1 (intron_variant)	56
PRKCB (intron_variant)	56
AC011825.3 (intron_variant)	56
RABGAP1L (intron_variant)	56
ZKSCAN7-AS1 (intron_variant)	56
MRI1 (downstream_gene_variant)	56
CFLAR (downstream_gene_variant)	55
AC006369.1 (intron_variant)	55
FAAH2 (intron_variant)	55
C19orf53 (upstream_gene_variant)	55
