Variant	N
AC097634.4 (intron_variant)	248
PRKCH (intron_variant)	226
FOXP1 (intron_variant)	224
DOCK8 (intron_variant)	185
RIPOR2 (intron_variant)	172
ANKRD44 (intron_variant)	171
AC016831.6 (intron_variant)	163
AC068587.4 (intron_variant)	155
PRH1 (intron_variant)	142
AC018630.2 (intron_variant)	139
TAS2R14 (intron_variant)	137
XYLT1 (intron_variant)	135
FTX (intron_variant)	128
CELF2 (intron_variant)	127
PCED1B (intron_variant)	123
AKAP13 (intron_variant)	121
ZNF83 (intron_variant)	121
JAK1 (intron_variant)	119
AL138752.2 (intron_variant)	118
LINC-PINT (intron_variant)	118
FNBP1 (intron_variant)	115
RFTN1 (intron_variant)	114
METTL22 (downstream_gene_variant)	112
TBC1D5 (intron_variant)	111
CSGALNACT1 (intron_variant)	110
CAMK4 (intron_variant)	109
ARHGAP15 (intron_variant)	109
FDFT1 (downstream_gene_variant)	109
FYB1 (intron_variant)	108
INPP4B (intron_variant)	107
KANSL1 (intron_variant)	107
LEPROTL1 (intron_variant)	107
LGALS8 (downstream_gene_variant)	107
HLA-B (intron_variant)	106
NLRP1 (intron_variant)	105
MBP (intron_variant)	104
FYN (intron_variant)	104
STK38 (intron_variant)	103
ARHGAP25 (intron_variant)	102
MUC20-OT1 (downstream_gene_variant)	101
RUNX1 (intron_variant)	100
AC011825.3 (intron_variant)	100
DOCK2 (intron_variant)	99
BCL11B (intron_variant)	99
PPP2R5C (intron_variant)	98
AL671277.1 (upstream_gene_variant)	97
AL645929.3 (upstream_gene_variant)	97
CYFIP2 (intron_variant)	96
PITPNC1 (intron_variant)	95
CAPZB (intron_variant)	95
SERINC5 (intron_variant)	95
APBB1IP (intron_variant)	95
ATM (intron_variant)	94
OXNAD1 (intron_variant)	94
DOCK10 (intron_variant)	93
CD6 (intron_variant)	93
PRKCA (intron_variant)	93
MUC20-OT1 (intron_variant)	93
BACH2 (intron_variant)	93
IQGAP2 (intron_variant)	92
AC008878.3 (intron_variant)	92
TPTE2P6 (intron_variant)	92
TSHZ2 (intron_variant)	92
CCND3 (intron_variant)	92
TTC3P1 (non_coding_transcript_exon_variant)	92
CYP20A1 (intron_variant)	92
MUC20-OT1 (upstream_gene_variant)	90
INPP5D (intron_variant)	89
ARHGEF18 (intron_variant)	88
FOXN3 (intron_variant)	88
MAML2 (intron_variant)	88
AP001011.2 (intron_variant)	88
ARMH4 (intron_variant)	88
ZNF815P (intron_variant)	88
KDM4C (intron_variant)	88
LGALS8 (intron_variant)	86
CDC42SE2 (intron_variant)	86
AC010894.3 (intron_variant)	86
AP000295.1 (intron_variant)	85
AOAH (intron_variant)	85
METTL22 (intron_variant)	84
AC093423.3 (intron_variant)	84
PRKCH (upstream_gene_variant)	84
SNHG14 (intron_variant)	83
UBAC2 (intron_variant)	83
CCM2 (intron_variant)	83
AC027644.4 (intron_variant)	83
AC079447.1 (intron_variant)	83
LEF1 (intron_variant)	82
ARHGEF3 (intron_variant)	81
FHIT (intron_variant)	81
ARID5B (intron_variant)	80
C1orf112 (intron_variant)	80
TNIK (intron_variant)	80
IL7R (downstream_gene_variant)	80
EVL (intron_variant)	80
AC011477.3 (intron_variant)	79
SSR1 (intron_variant)	79
ABLIM1 (intron_variant)	79
SMCHD1 (intron_variant)	78
TNRC6B (intron_variant)	78
AKAP13 (downstream_gene_variant)	78
IKZF3 (3_prime_UTR_variant)	77
KLF12 (intron_variant)	77
EPB41 (intron_variant)	77
SCML4 (intron_variant)	76
LINC01550 (intron_variant)	76
FDFT1 (intron_variant)	76
CD247 (intron_variant)	76
MBNL1 (intron_variant)	76
ABCC1 (intron_variant)	75
AC242426.2 (intron_variant)	75
PIP4K2A (intron_variant)	74
DPYD (intron_variant)	74
HLA-A (downstream_gene_variant)	74
LGALS8 (upstream_gene_variant)	74
ATM (downstream_gene_variant)	74
ZC3H12D (intron_variant)	73
ZNF44 (intron_variant)	73
MYH9 (intron_variant)	73
HCG17 (intron_variant)	72
ZNF56 (intron_variant)	72
FOXP1 (downstream_gene_variant)	72
AP001582.1-CD3D (intergenic_region)	71
PDXDC1 (intron_variant)	71
AL031282.2 (intron_variant)	71
TBL1X (intron_variant)	71
SEPTIN9 (intron_variant)	70
TTC39C (intron_variant)	70
RORA-AS1 (intron_variant)	70
AC022137.3 (intron_variant)	70
HLA-A-HLA-W (intergenic_region)	70
CD3D (downstream_gene_variant)	70
CYP20A1 (3_prime_UTR_variant)	70
CTSB (intron_variant)	69
TBCA (intron_variant)	69
CTSB (downstream_gene_variant)	69
CBLB (intron_variant)	69
PDE3B (intron_variant)	69
AC124312.1 (intron_variant)	69
PACS1 (intron_variant)	69
ESYT2 (intron_variant)	68
AL645929.1 (upstream_gene_variant)	68
MCPH1 (intron_variant)	68
KLC1 (intron_variant)	68
UXS1 (intron_variant)	68
AC022137.4 (intron_variant)	68
PVT1 (intron_variant)	68
CARD8 (intron_variant)	68
ST6GAL1 (intron_variant)	68
NUP88 (intron_variant)	67
CARD11 (intron_variant)	67
ZNF28 (intron_variant)	67
ANKDD1A (downstream_gene_variant)	67
HCP5 (downstream_gene_variant)	67
ELMO1 (intron_variant)	67
MGAT4A (intron_variant)	67
APOLD1 (intron_variant)	67
STK17B (intron_variant)	66
SKAP1 (intron_variant)	66
CHFR (intron_variant)	66
EML4 (intron_variant)	66
STK10 (intron_variant)	66
LRRC8C (intron_variant)	66
HLA-DQB1 (non_coding_transcript_exon_variant)	66
AC008695.1 (intron_variant)	66
LRRC28 (intron_variant)	65
NUP88 (upstream_gene_variant)	65
STAT1 (intron_variant)	65
AC079793.1 (intron_variant)	65
TGFBR2 (intron_variant)	65
ANKH (intron_variant)	65
HLA-A (intron_variant)	65
FMO5 (intron_variant)	65
MCUB (intron_variant)	64
AP005263.1 (intron_variant)	64
NLRC5 (intron_variant)	64
ZNF814 (downstream_gene_variant)	64
TCF12 (intron_variant)	64
PRKCQ (intron_variant)	64
CMAHP (intron_variant)	64
METTL22 (upstream_gene_variant)	64
IKZF3 (downstream_gene_variant)	64
RBM6 (intron_variant)	64
ZNF506 (intron_variant)	63
ATXN7L1 (intron_variant)	63
CRBN (downstream_gene_variant)	63
DUSP16 (intron_variant)	63
SATB1 (intron_variant)	62
USP3 (intron_variant)	62
PSMB9 (intron_variant)	62
LDLRAD4 (intron_variant)	62
FAM107B (intron_variant)	62
AC007161.3 (intron_variant)	62
QPRT (intron_variant)	61
LRRC28 (downstream_gene_variant)	61
ZBTB20 (intron_variant)	61
ZNF815P (downstream_gene_variant)	61
PHACTR2 (intron_variant)	61
SYNRG (intron_variant)	61
TTC3 (intron_variant)	61
SPN (3_prime_UTR_variant)	61
SPN (downstream_gene_variant)	61
DNM2 (intron_variant)	61
AL137230.3 (intron_variant)	60
ELF1 (intron_variant)	60
ZNF506 (downstream_gene_variant)	60
RNF125 (downstream_gene_variant)	60
SEPTIN9 (downstream_gene_variant)	60
ARID4B (intron_variant)	60
SPN (intron_variant)	60
SLC35E2A (intron_variant)	60
CD44 (intron_variant)	60
TACC3 (intron_variant)	60
PAG1 (intron_variant)	60
RCSD1 (intron_variant)	60
SYNRG (downstream_gene_variant)	60
ASIP (intron_variant)	60
UBE2D3 (intron_variant)	59
FMN2 (intron_variant)	59
CYP20A1 (downstream_gene_variant)	59
DOCK8 (downstream_gene_variant)	59
KHNYN (downstream_gene_variant)	59
FTX (downstream_gene_variant)	59
SUCLA2 (intron_variant)	59
AC010149.1 (intron_variant)	59
AL031282.1 (upstream_gene_variant)	59
MGST1 (intron_variant)	59
ANKDD1A (intron_variant)	59
SUPT16HP1 (non_coding_transcript_exon_variant)	58
SSH2 (intron_variant)	58
LINC01138 (intron_variant)	58
CDC14A (intron_variant)	58
HLA-A (non_coding_transcript_exon_variant)	58
SYNE2 (intron_variant)	58
NBL1 (intron_variant)	58
PCBD2 (intron_variant)	58
COA1 (intron_variant)	58
MICOS10-NBL1 (intron_variant)	58
GLG1 (intron_variant)	58
ZNRD1ASP (intron_variant)	58
P2RY8 (intron_variant)	58
SLFN12L (intron_variant)	58
AFF1 (intron_variant)	58
MAVS (3_prime_UTR_variant)	58
USP20 (intron_variant)	58
SRPK2 (intron_variant)	57
TNFAIP8 (intron_variant)	57
LINC01122 (intron_variant)	57
AC087721.2 (intron_variant)	57
PATJ (intron_variant)	57
AL359922.1 (intron_variant)	57
MARK3 (intron_variant)	57
AC103691.1 (upstream_gene_variant)	57
FAAH2 (intron_variant)	57
PCM1 (intron_variant)	57
WIPF1 (intron_variant)	57
UBE2F-SCLY (intron_variant)	57
ITK (intron_variant)	57
ATM (upstream_gene_variant)	57
HAGH (intron_variant)	57
UBE2D3 (upstream_gene_variant)	56
AL359918.2 (non_coding_transcript_exon_variant)	56
TPT1-AS1 (intron_variant)	56
MYH9 (downstream_gene_variant)	56
LITAF (intron_variant)	56
HLA-DPB1 (downstream_gene_variant)	56
AL359921.2 (upstream_gene_variant)	56
ANK3 (intron_variant)	56
PTK2B (intron_variant)	56
MIATNB (intron_variant)	55
AC010197.2 (intron_variant)	55
SPON1 (intron_variant)	55
AC009126.1 (intron_variant)	55
CARS2 (downstream_gene_variant)	55
SLC35E2A (downstream_gene_variant)	55
AC116366.3 (intron_variant)	55
HLA-F (intron_variant)	55
IL7R (intron_variant)	55
AC087633.2 (intron_variant)	55
USP15 (intron_variant)	55
PTPRC (intron_variant)	55
PPP2R5C (downstream_gene_variant)	55
SEMA4D (intron_variant)	54
SMAD3 (intron_variant)	54
AC087633.2 (non_coding_transcript_exon_variant)	54
PRKCH (downstream_gene_variant)	54
SNED1 (intron_variant)	54
FGD3 (intron_variant)	54
OIP5-AS1 (intron_variant)	54
PFKFB3 (intron_variant)	54
VOPP1 (intron_variant)	54
